product_name,product_code,currency,asset_class,sub_category,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y,risk_level
华夏成长证券投资基金,000001,CNY,股票类,股票型,-0.027,-0.0332,-0.0855,0.1622,0.2197,0.287,0.1411,0.1693,0.404,-0.35,-0.29,-0.4,R5
华泰柏瑞沪深300交易型开放式指数证券投资基金,510300,CNY,股票类,股票型,0.1691,0.0685,-0.0144,0.1525,0.1744,0.1825,0.1008,0.1625,0.2419,0.91,0.22,-0.24,R4
南方中证500交易型开放式指数证券投资基金,510500,CNY,股票类,股票型,0.2701,0.0874,0.0175,0.2027,0.2158,0.2128,0.1381,0.1987,0.3016,1.18,0.27,-0.06,R5
嘉实沪深300交易型开放式指数证券投资基金,159919,CNY,股票类,股票型,0.1574,0.0735,-0.008,0.154,0.1756,0.1819,0.1144,0.1804,0.2238,0.83,0.25,-0.21,R4
易方达创业板交易型开放式指数证券投资基金,159915,CNY,股票类,股票型,0.4944,0.1252,0.0326,0.2947,0.3273,0.31,0.2072,0.3372,0.4088,1.58,0.29,0.01,R5
前海开源中证军工指数型证券投资基金A,000596,CNY,股票类,股票型,-0.188,-0.1884,-0.1256,0.311,0.3483,0.4142,0.3196,0.5304,0.5654,-0.7,-0.63,-0.38,R5
招商中证白酒指数分级证券投资基金,161725,CNY,股票类,股票型,-0.1092,-0.136,-0.1274,0.1819,0.2468,0.2745,0.1858,0.3384,0.4907,-0.77,-0.67,-0.57,R5
